News_Headline,Link_Of_News,Source,Stated_On,Date,Label
"While ""Arkansas seniors depend on Social Security and Medicare,"" Sen. Mark Pryor supports an overhaul so they ""couldn’t get Social Security until they turn 68 or 69.""",https://www.politifact.com/factchecks/2014/aug/20/crossroads-gps/arkansas-senate-race-crossroads-gps-accuses-mark-p/,Crossroads GPS," August 19, 20"," August 20, 2014",barely-true
"""This will be the last time — April — that you’re going to (fill out) that old-fashioned, big, lots of pages, complicated tax form. Because next April you’re going to, in many cases, (file) one page, one card. It’s going to be very, very different. Very, very different.""",https://www.politifact.com/factchecks/2018/apr/09/donald-trump/can-taxpayers-expect-card-sized-tax-forms-file-nex/,Donald Trump," April 5, 2018"," April 9, 2018",barely-true
"Muslim immigrants were responsible for 11,000 of 13,000 knife attacks in London in the past 12 months.",https://www.politifact.com/factchecks/2019/feb/08/viral-image/theres-no-evidence-muslim-immigrants-are-responsib/,Viral image," February 4, 2"," February 8, 2019",FALSE
"""Ronald Reagan was a verified Democrat until his mid-50s.""",https://www.politifact.com/factchecks/2017/sep/21/kevin-nicholson/reagan-democrat-50s/,Kevin Nicholson," August 6, 201"," September 21, 2017",TRUE
"In 2000, ""I wrote about Osama bin Laden, ‘We’ve got to take him out.’""",https://www.politifact.com/factchecks/2015/dec/11/donald-trump/much-hype-trumps-claim-he-called-rubbing-out-bin-l/,Donald Trump," December 2, 2"," December 11, 2015",barely-true
"Imitation dairy products often differ nutritionally from those they mimic, and labeling them ""milk"" or ""cheese"" or ""yogurt"" is ""against the law.""",https://www.politifact.com/factchecks/2017/jan/27/tammy-baldwin/labeling-imitation-dairy-products-milk-or-cheese-o/,Tammy Baldwin," January 12, 2"," January 27, 2017",mostly-true
"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,https://www.politifact.com/factchecks/2017/nov/06/yournewswirecom/fake-news-no-proof-antifa-communism-compelled-texa/,YourNewsWire.com," November 5, 2"," November 6, 2017",pants-fire
"""Roughly one-fourth of rural Missourians are unable to purchase high-speed internet, which puts them at a disadvantage in everything from education to entertainment to health care.""",https://www.politifact.com/factchecks/2017/mar/20/vicky-hartzler/rep-vicky-hartzler-underestimated-lack-high-speed-/,Vicky Hartzler," March 14, 201"," March 20, 2017",half-true
"Says Richard Cordray directed an Ohio commission to ""permit an armed group to have a rally on the statehouse grounds, even taking the extraordinary step of assuming personal responsibility for waiving an insurance requirement in the event of an incident.""",https://www.politifact.com/factchecks/2018/mar/13/dennis-kucinich/richard-cordray-helped-pro-gun-group-get-go-ahead-/,Dennis Kucinich," February 27, "," March 13, 2018",TRUE
"""Our university campuses by federal law do not check the immigration status of their students just as our public schools don’t.""",https://www.politifact.com/factchecks/2016/dec/28/lloyd-doggett/lloyd-doggett-says-federal-law-universities-dont-c/,Lloyd Doggett," December 15, "," December 28, 2016",barely-true
"Wisconsin ""was literally broke"" when Republicans took office in January 2011.",https://www.politifact.com/factchecks/2015/jun/26/jim-steineke/jim-steineke-says-wisconsin-was-broke-when-republi/,Jim Steineke," June 18, 2015"," June 26, 2015",FALSE
"The sequester has ""already lost 1.6 million jobs.""",https://www.politifact.com/factchecks/2013/aug/01/harry-reid/reid-says-sequester-has-already-cost-16-million-jo/,Harry Reid," July 30, 2013"," August 1, 2013",FALSE
"Says Supreme Court nominee Merrick Garland ""voted, so the folks know, in Washington, D.C., to keep guns away from private citizens.""",https://www.politifact.com/factchecks/2016/mar/18/bill-oreilly/bill-oreilly-wrongly-says-merrick-garland-voted-ba/,Bill O'Reilly," March 16, 201"," March 18, 2016",FALSE
Says President Barack Obama is urging Chicago’s mayor to pressure prosecutors into not charging Jussie Smollett.,https://www.politifact.com/factchecks/2019/feb/25/facebook-posts/no-obama-not-trying-get-jussie-smollets-charges-dr/,Facebook posts," February 20, "," February 25, 2019",pants-fire
Says a photo shows a dog who has slept by his master’s grave every night for seven years.,https://www.politifact.com/factchecks/2019/sep/26/viral-image/dog-named-capitan-known-sleeping-his-owners-grave-/,Viral image," June 19, 2019"," September 26, 2019",FALSE
"""Bruce Ohr's wife, Nellie Ohr, worked for Fusion GPS – which was the firm hired by the Clinton campaign to write the dossier. Bruce Ohr gave the dossier to the FBI. The FBI then used the same dossier to spy on the Trump campaign.""",https://www.politifact.com/factchecks/2018/sep/11/mark-meadows/meadows-says-ohr-got-dossier-through-his-wife/,Mark Meadows," August 31, 20"," September 11, 2018",half-true
CNN accidentally aired 30 minutes of pornography in Boston on Thanksgiving night.,https://www.politifact.com/factchecks/2016/nov/29/blog-posting/reports-cnn-showed-pornography-instead-anthony-bou/,Bloggers," November 24, "," November 29, 2016",FALSE
“You see suicide rates are skyrocketing now…”,https://www.politifact.com/factchecks/2020/jun/04/tim-murtaugh/theres-no-data-back-claim-skyrocketing-suicides-du/,Tim Murtaugh," May 26, 2020 "," June 4, 2020",FALSE
Says the U.S. national debt has tripled during Rep. Greg Walden’s time in Congress.,https://www.politifact.com/factchecks/2013/nov/11/dennis-linthicum/has-national-debt-trippled-rep-greg-walden-was-ele/,Dennis Linthicum," November 1, 2"," November 11, 2013",half-true
"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",https://www.politifact.com/factchecks/2019/apr/25/amy-klobuchar/klobuchar-wants-stop-drugmakers-bad-practice-keeps/,Amy Klobuchar," April 22, 201"," April 25, 2019",TRUE
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",https://www.politifact.com/factchecks/2017/dec/03/eddie-rodriguez/domestic-violence-not-confirmed-precursor-mass-sho/,Eddie Rodriguez," November 9, 2"," December 2, 2017",FALSE
"Says Democrats ""spent $40,000,000 of YOUR tax dollars trying to impeach Trump.""",https://www.politifact.com/factchecks/2019/nov/15/facebook-posts/viral-post-says-democrats-spent-40-million-impeach/,Facebook posts," November 11, "," November 15, 2019",FALSE
"""Twenty-five percent of our kids in foster care are there because their parents are involved in drugs.""",https://www.politifact.com/factchecks/2015/nov/30/vicky-hartzler/hartzler-was-modest-connection-between-drugs-and-f/,Vicky Hartzler," October 9, 20"," November 30, 2015",TRUE
"""We have never been paid by the Trump campaign.""",https://www.politifact.com/factchecks/2018/apr/27/diamond-and-silk/were-diamond-and-silk-paid-trump-campaign/,Diamond and Silk," April 26, 201"," April 27, 2018",mostly-true
"""CNN uses the same girl in 3 different Refugee Crisis pictures being saved by 3 different men.""",https://www.politifact.com/factchecks/2019/mar/01/facebook-posts/facebook-post-claims-cnn-uses-same-girl-photos-sep/,Facebook posts," February 25, "," March 1, 2019",FALSE
"Says $800,000 cost of Texas special legislative session would pay for 1.6 million condoms, 90,000 months of the pill or 20 full-time sexual health educators.",https://www.politifact.com/factchecks/2013/jul/03/sarah-ponder/austinite-says-800000-cost-special-session-could-p/,Sarah Ponder," July 1, 2013 "," July 3, 2013",mostly-true
"The authors of a report on CIA’s torture techniques ""never interviewed a single CIA official.""",https://www.politifact.com/factchecks/2014/dec/11/marco-rubio/marco-rubio-says-committees-torture-report-failed-/,Marco Rubio," December 8, 2"," December 11, 2014",half-true
"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change. ""That number was pulled out of thin air.""",https://www.politifact.com/factchecks/2015/sep/02/rick-santorum/santorum-un-climate-head-debunked-widely-cited-97-/,Rick Santorum," August 28, 20"," September 2, 2015",FALSE
"Barry Smitherman ""doesn’t have enough legal experience to apply for most of the jobs at the attorney general’s office.""",https://www.politifact.com/factchecks/2014/feb/26/ken-paxton/most-lawyer-jobs-ags-office-require-three-years-ex/,Ken Paxton," January 24, 2"," February 26, 2014",mostly-true
"“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”",https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/still-going-work-pennsylvania-chances-are-youre-lo/,Facebook posts," March 18, 202"," April 21, 2020",TRUE
"Says Donald Trump’s ""only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.""",https://www.politifact.com/factchecks/2016/may/01/ted-cruz/donald-trumps-economic-agenda-imposing-massive-tax/,Ted Cruz," May 1, 2016 i"," May 1, 2016",half-true
"""Toomey and Trump will ban abortion and punish women who have them.""",https://www.politifact.com/factchecks/2016/oct/06/naral-pro-choice/attack-ads-unsubstantiated-claim-pat-toomey-trump-/,NARAL Pro-Choice America," September 28,"," October 6, 2016",FALSE
"""12 more hurricanes headed towards U.S.""",https://www.politifact.com/factchecks/2017/sep/25/blog-posting/12-hurricanes-coming-toward-us-fake-post-totally-w/,Bloggers," September 21,"," September 25, 2017",pants-fire
"Says President Donald Trump ""came forth with a budget — a trillion dollar cut in Medicaid, $500 billion to Medicare, and $72 billion for the Social Security Disability Fund.""",https://www.politifact.com/factchecks/2019/mar/06/bernie-sanders/sanders-attacks-trump-cuts-medicaid-medicar/,Bernie Sanders," February 25, "," March 6, 2019",half-true
"Under Obamacare, ""American families have seen an increase in premiums of $5,000.""",https://www.politifact.com/factchecks/2017/jan/09/mike-pence/mike-pence-says-under-obamacare-american-families-/,Mike Pence," January 4, 20"," January 9, 2017",half-true
"""Almost every day another 9/11 survivor or responder dies from a 9/11-related cancer.""",https://www.politifact.com/factchecks/2019/mar/09/kirsten-gillibrand/gillibrand-highlights-911-cancer-deaths/,Kirsten Gillibrand," February 25, "," March 9, 2019",barely-true
"Says Elizabeth Warren said, ""Having an abortion is no different than someone having their tonsils removed.""",https://www.politifact.com/factchecks/2019/aug/07/facebook-posts/elizabeth-warren-quote-likening-abortion-tonsil-re/,Facebook posts," July 31, 2019"," August 7, 2019",barely-true
"""Since Scott Walker has been our governor, we’ve gone from 50 percent state funding for the"" University of Wisconsin System ""to 15 percent.""",https://www.politifact.com/factchecks/2018/aug/06/tony-evers/tony-evers-figures-are-wrong-attack-scott-walker-o/,Tony Evers," July 22, 2018"," August 6, 2018",FALSE
"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",https://www.politifact.com/factchecks/2019/apr/23/mac-heller/minority-electorate-surpassed-25-percent-when-obam/,Mac Heller," April 7, 2019"," April 23, 2019",TRUE
"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",https://www.politifact.com/factchecks/2014/mar/02/mike-rogers/why-crimea-matters-russia/,Mike Rogers," March 2, 2014"," March 2, 2014",TRUE
"""Smog was invented in Los Angeles. It was. The name was invented. There was a fellow at Caltech and he came up with the idea and they called it smog.""",https://www.politifact.com/factchecks/2015/nov/03/jerry-brown/jerry-browns-hazy-claim-l-invents-smog/,Jerry Brown," October 7, 20"," November 3, 2015",half-true
"Says Terry McAuliffe ""opposes"" Virginia’s right-to-work law.",https://www.politifact.com/factchecks/2013/jul/03/ken-cuccinelli/cuccinelli-says-mcauliffe-opposes-virginias-right-/,Ken Cuccinelli," June 21, 2013"," July 3, 2013",FALSE
"""Fox ‘News’ just announced that they will not air Mueller’s testimony about his report, which they claim ‘exonerates’ Trump.""",https://www.politifact.com/factchecks/2019/jul/23/occupy-democrats/no-fox-news-not-snubbing-muellers-testimony/,Occupy Democrats," July 22, 2019"," July 23, 2019",FALSE
"""We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.""",https://www.politifact.com/factchecks/2016/mar/20/richard-ferruccio/ri-incarceration-rates-low-prisons-not-overcrowded/,Richard Ferruccio," February 23, "," March 20, 2016",TRUE
"Says Gavin Newsom ""didn’t solve the homeless problem at all"" as mayor of San Francisco, ""and it’s gotten worse.""",https://www.politifact.com/factchecks/2018/oct/08/john-cox/fact-checking-gavin-newsoms-record-solving-homeles/,John Cox," October 8, 20"," October 8, 2018",half-true
Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,https://www.politifact.com/factchecks/2020/jun/02/blog-posting/fact-checking-claims-pelosi-tried-add-abortion-fun/,Bloggers," May 13, 2020 "," June 2, 2020",barely-true
Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,https://www.politifact.com/factchecks/2020/mar/26/facebook-posts/theres-no-evidence-covid-19-can-survive-surfaces-1/,Facebook posts," March 23, 202"," March 26, 2020",FALSE
Says the 2008 book “End of Days” predicted the current coronavirus outbreak.,https://www.politifact.com/factchecks/2020/feb/26/viral-image/book-end-days-described-illness-2020-not-wuhan-400/,Viral image," February 19, "," February 26, 2020",FALSE
"The economy is ""creating jobs at the fastest pace since 1999.""",https://www.politifact.com/factchecks/2015/jan/21/barack-obama/barack-obama-says-us-economy-creating-jobs-fastest/,Barack Obama," January 20, 2"," January 21, 2015",TRUE
"""Simply being in this country without documentation is not a crime""",https://www.politifact.com/factchecks/2017/dec/02/kathy-sheehan/being-undocumented-immigrant-us-not-crime/,Kathy Sheehan," November 16, "," December 1, 2017",mostly-true
"Alexandria Ocasio-Cortez compared Trump to Jesus, calling both “con artists.”",https://www.politifact.com/factchecks/2020/apr/28/blog-posting/ocasio-cortez-didnt-call-jesus-and-trump-con-artis/,Bloggers," April 24, 202"," April 28, 2020",pants-fire
"When asked by a reporter whether he’s at the center of a ""criminal scheme"" to violate campaign laws, Gov. Scott Walker nodded yes.",https://www.politifact.com/factchecks/2014/jun/27/state-democratic-party-wisconsin/democratic-party-video-ad-scott-walker-nods-yes-wh/,Democratic Party of Wisconsin," June 24, 2014"," June 27, 2014",pants-fire
"""Not one Democrat called for gun control"" after a man shot at Republican lawmakers playing softball.",https://www.politifact.com/factchecks/2019/aug/14/viral-image/democrats-advocated-stricter-gun-laws-after-alexa/,Viral image," August 6, 201"," August 14, 2019",FALSE
"""The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.""",https://www.politifact.com/factchecks/2016/sep/27/hillary-clinton/hillary-clinton-correct-gun-deaths-young-black-mal/,Hillary Clinton," September 26,"," September 26, 2016",TRUE
"President Trump has signed more bills into law ""than any president previously before at this stage in the game.""",https://www.politifact.com/factchecks/2017/jun/27/devin-nunes/nunes-gets-it-wrong-trump-hasnt-signed-more-bills-/,Devin Nunes," June 19, 2017"," June 27, 2017",FALSE
"""We've made other countries rich while the wealth ... of our country has dissipated over the horizon.""",https://www.politifact.com/factchecks/2017/jan/20/donald-trump/trump-wrongly-says-us-has-made-others-rich-while-o/,Donald Trump," January 20, 2"," January 20, 2017",barely-true
"""Students at the University of Texas in Austin have been advised not to wear cowboy boots or cowboy hats on Halloween.""",https://www.politifact.com/factchecks/2016/nov/03/todd-starnes/todd-starnes-says-university-texas-students-advise/,Todd Starnes," October 28, 2"," November 3, 2016",FALSE
"""More than 15,000 transgender Americans"" are ""serving in the military today.""",https://www.politifact.com/factchecks/2017/jul/26/mark-pocan/how-many-people-military-are-transgender/,Mark Pocan," July 26, 2017"," July 26, 2017",half-true
"Says President Donald “Trump promised 13,000 new jobs to the people of #Wisconsin. 3 years later, we’re still waiting…”",https://www.politifact.com/factchecks/2020/mar/11/gwen-moore/foxconn-progress-slow-gwen-moore-wrong-expecting-1/,Gwen Moore," February 14, "," March 11, 2020",half-true
"Charles Francis ""vows to slash funding for parks and open space.""",https://www.politifact.com/factchecks/2017/nov/06/nancy-mcfarlane/raleigh-mayor-my-opponent-vows-slash-park-funding/,Nancy McFarlane," November 6, 2"," November 6, 2017",barely-true
"""A million Democrats deserted (Howard Dean’s) party and joined my party because of Donald Trump in Ohio this year.""",https://www.politifact.com/factchecks/2016/jul/21/hugh-hewitt/hugh-hewitt-million-ohio-democrats-changed-parties/,Hugh Hewitt," July 20, 2016"," July 20, 2016",barely-true
"""Mitch McConnell voted with Harry Reid to infringe on our gun rights.""",https://www.politifact.com/factchecks/2014/feb/24/matt-bevin/republican-challenger-matt-bevin-attacks-senate-mi/,Matt Bevin," February 19, "," February 24, 2014",pants-fire
The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,https://www.politifact.com/factchecks/2015/dec/02/fulton-county-health-and-wellness/health-officials-right-about-drop-aids-related-dea/,Fulton County Health and Wellness," November 20, "," December 2, 2015",TRUE
"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""",https://www.politifact.com/factchecks/2017/jul/26/andy-gronik/half-true-attack-scott-walker-and-if-wisconsin-3-y/,Andy Gronik," July 11, 2017"," July 26, 2017",half-true
"The Obama administration issued an ""11th-hour rule that entrenches federal family planning funding for Planned Parenthood.""",https://www.politifact.com/factchecks/2017/feb/01/joni-ernst/joni-ernst-target-describing-11th-hour-obama-rule-/,Joni Ernst," January 27, 2"," February 1, 2017",mostly-true
"""Under Greg Abbott, Texas four-year-olds would be forced to undergo standardized tests.""",https://www.politifact.com/factchecks/2014/may/01/wendy-davis/greg-abbott-plan-doesnt-mandate-standardized-testi/,Wendy Davis," April 22, 201"," May 1, 2014",barely-true
Rick Scott says he supported in-state tuition for Dreamers while Charlie Crist was against it.,https://www.politifact.com/factchecks/2014/oct/22/rick-scott/rick-scott-says-he-supported-state-tuition-dreamer/,Rick Scott," October 21, 2"," October 21, 2014",half-true
"""We are now, very proudly, an exporter of energy to the world.""",https://www.politifact.com/factchecks/2018/jan/31/donald-trump/trump-exaggerates-energy-exports/,Donald Trump," January 30, 2"," January 31, 2018",barely-true
"The U.S. spends ""57 cents on the dollar on defense.""",https://www.politifact.com/factchecks/2019/dec/13/ilhan-omar/rep-ilhan-omars-claim-us-spends-57-federal-budget-/,Ilhan Omar," December 1, 2"," December 13, 2019",FALSE
"In 1986, the founder of the Times Square Church prophesied that he saw “a plague coming on the world and the bars and church and government will shut down,” with New York City especially hard hit.",https://www.politifact.com/factchecks/2020/apr/24/facebook-posts/no-pastor-david-wilkerson-did-not-predict-covid-19/,Facebook posts," April 3, 2020"," April 24, 2020",FALSE
"""The 'Denver Post' has actually hired an editor to promote pot.""",https://www.politifact.com/factchecks/2013/dec/12/bill-oreilly/oreilly-denver-post-hired-editor-promote-pot/,Bill O'Reilly," December 9, 2"," December 12, 2013",FALSE
"Says Nancy Pelosi said, ""Just because someone is here illegally doesn’t mean they broke any of our laws.""",https://www.politifact.com/factchecks/2019/may/29/viral-image/no-source-supposed-pelosi-statement-about-undocume/,Viral image," May 20, 2019 "," May 29, 2019",FALSE
"""Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.""",https://www.politifact.com/factchecks/2014/may/30/peter-shumlin/target-deal-hope-mark/,Peter Shumlin," May 21, 2014 "," May 30, 2014",half-true
"Says Hillary Clinton ""is under investigation with the FBI right now.""",https://www.politifact.com/factchecks/2016/jan/15/jeb-bush/heres-whats-wrong-jeb-bush-saying-hillary-clinton-/,Jeb Bush," January 14, 2"," January 14, 2016",half-true
"Says photo shows ""the Golden Gate Bridge opening to the public for the first time back in 1937, and yes, it almost collapsed.""",https://www.politifact.com/factchecks/2019/dec/04/facebook-posts/no-photo-does-not-show-1937-opening-golden-gate-br/,Facebook posts," November 29, "," December 4, 2019",FALSE
"Obamacare ""prevents (Florida) from regulating insurance.""",https://www.politifact.com/factchecks/2014/aug/20/republican-party-florida/obamacare-wont-let-florida-regulate-health-insuran/,Republican Party of Florida," August 6, 201"," August 20, 2014",pants-fire
On expanding Medicaid under the Affordable Care Act.,https://www.politifact.com/factchecks/2015/apr/07/rick-scott/scott-shifts-again-medicaid-expansion/,Rick Scott," April 7, 2015"," April 7, 2015",full-flop
"""The same federal government that offers some money for a program is walking away from another health care program.""",https://www.politifact.com/factchecks/2015/apr/14/rick-scott/rick-scott-says-feds-walked-away-state-health-prog/,Rick Scott," April 6, 2015"," April 14, 2015",half-true
"""Our companies are moving into Mexico more than almost any other place right now.""",https://www.politifact.com/factchecks/2015/aug/27/donald-trump/trump-says-us-companies-moving-mexico-more-almost-/,Donald Trump," August 19, 20"," August 27, 2015",half-true
"Under the Affordable Care Act, ""some people were gaming the system"" by paying ""for nine months of insurance, get 12 -- the other three for free.""",https://www.politifact.com/factchecks/2017/mar/08/greg-walden/are-americans-gaming-system-get-cheaper-obamacare-/,Greg Walden," March 7, 2017"," March 8, 2017",barely-true
"Wisconsin dropped ""from second in the country to 41st"" among states where more than half the students took the ACT exam.",https://www.politifact.com/factchecks/2016/jan/15/state-democratic-party-wisconsin/blaming-scott-walker-democrats-say-wisconsins-rank/,Democratic Party of Wisconsin," January 14, 2"," January 15, 2016",pants-fire
"""Democrats and their allies (...) are manufacturing voters.""",https://www.politifact.com/factchecks/2018/nov/13/ken-blackwell/no-evidence-democrats-and-their-allies-manufacturi/,Ken Blackwell," November 9, 2"," November 13, 2018",pants-fire
"Florida has ""issued more than 3 million conceal carry permits in the past 30 years. Only 168 have been revoked.""",https://www.politifact.com/factchecks/2016/jun/02/donald-trump/donald-trump-minimizes-number-revoked-gun-permits-/,Donald Trump," May 20, 2016 "," June 2, 2016",half-true
"""It is true that we know that ISIS is present in Ciudad Juarez (Mexico)""",https://www.politifact.com/factchecks/2014/sep/17/trent-franks/isis-mexico-and-planning-cross-border/,Trent Franks," September 12,"," September 17, 2014",barely-true
"""SIX of the most prominent activists during the Ferguson riots have all been found burned to death in their cars. There are no coincidences here.""",https://www.politifact.com/factchecks/2019/jul/25/facebook-posts/facebook-post-deaths-6-people-ferguson-stretches-w/,Facebook posts," July 15, 2019"," July 25, 2019",barely-true
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",https://www.politifact.com/factchecks/2018/jun/21/donald-trump/1700-percent-increase-asylum-claims/,Donald Trump," June 19, 2018"," June 21, 2018",mostly-true
A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,https://www.politifact.com/factchecks/2017/oct/03/blog-posting/fake-news-flight-crew-did-not-take-knee-and-strand/,Bloggers," October 2, 20"," October 3, 2017",pants-fire
"Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections.",https://www.politifact.com/factchecks/2020/mar/03/viral-image/no-brownsville-texas-hospital-isnt-treating-two-co/,Viral image," March 2, 2020"," March 3, 2020",FALSE
"Says photo of man shows ""diseases coming across the border.""",https://www.politifact.com/factchecks/2018/nov/06/blog-posting/dated-photo-used-make-false-claim-about-migrants-d/,Bloggers," November 2, 2"," November 6, 2018",FALSE
"""Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Booker's Newark graduate.""",https://www.politifact.com/factchecks/2013/aug/27/bookerfail/super-pac-criticizes-booker-low-newark-graduation-/,BookerFail," August 1, 201"," August 27, 2013",barely-true
"""The F-35 bombers, scheduled to arrive in Burlington this fall, have been designated with a nuclear mission.""",https://www.politifact.com/factchecks/2019/apr/11/rachel-siegel/activist-says-f-35s-bound-burlington-have-nuclear-/,Rachel Siegel," April 8, 2019"," April 10, 2019",barely-true
"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation.""",https://www.politifact.com/factchecks/2019/apr/26/justice-democrats/biden-draws-barbs-progressive-democratic-organizat/,Justice Democrats," April 25, 201"," April 26, 2019",half-true
"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",https://www.politifact.com/factchecks/2015/nov/08/donald-trump/trump-my-numbers-leadership-its-two-or-three-or-fo/,Donald Trump," November 8, 2"," November 8, 2015",half-true
"""Sarah Palin Calls To Boycott Mall Of America Because ‘Santa Was Always White In The Bible.’""",https://www.politifact.com/factchecks/2016/dec/21/politiconocom/fake-news-site-says-sarah-palin-boycott-mall-ameri/,Politicono.com," December 3, 2"," December 21, 2016",pants-fire
"""Texas is one of only a handful of states that does not have an equal pay law.""",https://www.politifact.com/factchecks/2016/may/27/wendy-davis/wendy-davis-wrongly-says-texas-among-states-no-equ/,Wendy Davis," March 14, 201"," May 27, 2016",FALSE
"""Allegiant Air is rewarding everyone with 2 free plane tickets to celebrate April Aviation Week!""",https://www.politifact.com/factchecks/2018/apr/23/blog-posting/false-claim-circulates-about-allegiant-air-offerin/,Bloggers," April 22, 201"," April 23, 2018",pants-fire
"""Trump’s Health Secretary Pick Wants a Medicare Phaseout by Summer 2017.""",https://www.politifact.com/factchecks/2016/dec/07/winning-democrats/no-trumps-health-secretary-pick-tom-price-doesnt-w/,Winning Democrats," December 1, 2"," December 7, 2016",FALSE
"""Tens of thousands of fraudulent Clinton votes found in Ohio warehouse.""",https://www.politifact.com/factchecks/2016/nov/01/blog-posting/bogus-ballot-stuffing-story-irks-ohio-secretary-st/,Bloggers," September 30,"," November 1, 2016",pants-fire
"""Attorney General Roy Cooper refuses to do his job"" by not defending House Bill 2 in a lawsuit.",https://www.politifact.com/factchecks/2016/apr/07/phil-berger/nc-sen-phil-berger-says-g-roy-cooper-failing-his-d/,Phil Berger," March 31, 201"," April 7, 2016",half-true
"Says after Australia passed a ""new law"" that forced gun owners to give up over 640,000 firearms, the country saw a dramatic increase in homicides, assaults and robberies.",https://www.politifact.com/factchecks/2020/jan/13/facebook-posts/no-viral-post-isnt-correct-australias-gun-laws-vio/,Facebook posts," September 21,"," January 13, 2020",FALSE
Says the late Lady Bird Johnson sicced the CIA on actress and singer Eartha Kitt after Kitt spoke out against the Vietnam War during a White House luncheon in January 1968.,https://www.politifact.com/factchecks/2019/aug/15/drunk-history/did-lady-bird-johnson-sic-cia-eartha-kitt/,Drunk History," July 2, 2019 "," August 15, 2019",barely-true
"""It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.""",https://www.politifact.com/factchecks/2016/jan/31/jack-reed/reed-and-mccain-make-case-save-gen-petraeus-pensio/,Jack Reed," January 20, 2"," January 31, 2016",TRUE
"""Every time Trump comes here to play golf, Florida taxpayers are paying for it. ... Jeff Greene will put a stop to that day 1.""",https://www.politifact.com/factchecks/2018/jul/26/jeff-greene/could-florida-governor-bill-feds-police-trumps-gol/,Jeff Greene," July 10, 2018"," July 26, 2018",barely-true
"Says Sen. Richard Blumenthal said he served in Vietnam in ""Da Nang Province. Soldiers dying left and right as we battled up the hill."" And ""then he cried when (the press) caught him.""",https://www.politifact.com/factchecks/2018/oct/04/donald-trump/donald-trumps-inventions-about-richard-blumenthal-/,Donald Trump," October 2, 20"," October 4, 2018",FALSE
"""60 percent of people on food assistance are working.""",https://www.politifact.com/factchecks/2013/dec/11/barbara-lee/barbara-lee-says-60-percent-people-food-assistance/,Barbara Lee," December 4, 2"," December 11, 2013",mostly-true
"President Barack Obama’s policies ""have resulted in gas prices being reduced from $3.07 per gallon when he was sworn in in 2009 to $2.30 today.""",https://www.politifact.com/factchecks/2015/jan/18/bobby-scott/bobby-scott-low-gas-prices-are-result-obama-polici/,Bobby Scott," January 9, 20"," January 18, 2015",FALSE
"""Onion Creek’s highest flow rate"" on a recent night of flooding ""was 120,000 cubic feet per second, which is nearly double the average flow rate of Niagara Falls.""",https://www.politifact.com/factchecks/2013/nov/14/city-austin/during-flood-austins-onion-creek-flowed-34-percent/,City of Austin," November 6, 2"," November 14, 2013",barely-true
"""The Virginia population increased by just 8 percent from 2005 to 2015, but the per capita spending in the budget increased by a whopping 38 percent.""",https://www.politifact.com/factchecks/2016/oct/03/virginia-first-foundation/several-problem-virginia-firsts-claim-about-soarin/,Virginia First Foundation," September 27,"," October 3, 2016",half-true
"Says he’s a ""small-town supervisor who has kept a balanced budget, who has increased surpluses, who has led us to the highest credit rating our town has ever had.""",https://www.politifact.com/factchecks/2018/aug/29/nathan-mcmurray/mcmurray-claims-about-grand-island-record-are-true/,Nate McMurray," August 8, 201"," August 29, 2018",TRUE
"Says Charlie Crist's campaign bashed Sen. Bill Nelson's ""big-government solutions.""",https://www.politifact.com/factchecks/2014/apr/25/msnbc/msnbc-labels-florida-republican-charlie-crist-advi/,MSNBC," April 25, 201"," April 25, 2014",pants-fire
